stop_u,stop_v,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
"Po Hong Road,  Outside Po Hong Park","Po Fung Road,  Outside Po Kim House,  Po Lam Estate",57.0,57.0,0.0,0.0
"Po Fung Road,  Outside Po Kim House,  Po Lam Estate",Sung Wong Toi Playground,57.0,57.0,0.0,0.0
Sung Wong Toi Playground,Prince Edward Road East Opposite Rhythm Garden,57.0,57.0,0.0,0.0
Prince Edward Road East Opposite Rhythm Garden,"Ma Tau Chung Road,  Outside Sung Wong Toi Playground",57.0,57.0,0.0,0.0
"Ma Tau Chung Road,  Outside Sung Wong Toi Playground","Prince Edward Road East,  opposite to the Latitude",57.0,57.0,0.0,0.0
"Prince Edward Road East,  opposite to the Latitude","Po Lam Road North,  outside Ying Ming Court",57.0,57.0,0.0,0.0
"Po Lam Road North,  outside Ying Ming Court",Sung Wong Toi Playground,57.0,57.0,0.0,0.0
Sung Wong Toi Playground,"Ma Tau Chung Road,  Outside Fok On Building",57.0,57.0,0.0,0.0
"Ma Tau Chung Road,  Outside Fok On Building",Po Lam Road North outside Po Yan House of Po Lam Estate,57.0,57.0,0.0,0.0
Po Lam Road North outside Po Yan House of Po Lam Estate,"Po Lam Road North,  Outside Po Yan House,  Po Lam Estate",57.0,57.0,0.0,0.0
"Po Lam Road North,  Outside Po Yan House,  Po Lam Estate","Ma Tau Chung Road,  Outside The Hong Kong Federation Of Trade Unions Worker^s Club",57.0,57.0,0.0,0.0
"Ma Tau Chung Road,  Outside The Hong Kong Federation Of Trade Unions Worker^s Club","Ma Tau Chung Road,  Outside Sung Wong Toi Playground",57.0,57.0,0.0,0.0
"Ma Tau Chung Road,  Outside Sung Wong Toi Playground",No.187 Ma Tau Wai Road,57.0,57.0,0.0,0.0
No.187 Ma Tau Wai Road,"Po Lam Road North,  Opposite King Min House,  King Lam Estate",57.0,57.0,0.0,0.0
"Po Lam Road North,  Opposite King Min House,  King Lam Estate","Ma Tau Chung Road,  Outside Fok On Building",57.0,57.0,0.0,0.0
"Ma Tau Chung Road,  Outside Fok On Building","Sheung Heung Road,  No.37",57.0,57.0,0.0,0.0
"Sheung Heung Road,  No.37","Hong Sing Garden Bus Terminus,  Outside King Ling College",57.0,57.0,0.0,0.0
"Hong Sing Garden Bus Terminus,  Outside King Ling College","Ma Tau Chung Road,  Outside The Hong Kong Federation Of Trade Unions Worker^s Club",57.0,57.0,0.0,0.0
