route_id,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
2336_2,114,76,114,76
2107_1,380,76,380,76
2107_2,380,76,380,76
2852_1,38,38,38,38
2852_2,38,38,38,38
2702_1,57,38,57,38
2702_2,57,38,57,38
2753_1,57,57,57,57
2753_2,57,57,57,57
2754_1,76,57,76,57
2754_2,76,57,76,57
2755_1,38,38,38,38
2755_2,38,38,38,38
