stop_u,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
"Pak Wan Street,  Pak Tin Estate Bus Terminus",437.0,114.0,418.0,114.0
"Tai Hang Tung Road,  Outside Tung Lung House,  Tai Hang Tung Estate",57.0,38.0,38.0,38.0
Mongkok East Station,326.1666667,152.0,307.1666667,152.0
"Sai Yee Street,  Outside Kwai Wah Court",57.0,38.0,38.0,38.0
"Tung Choi Street,  Outside Mong Kok Police Station",171.0,95.0,152.0,95.0
"Po Lam Road North,  opposite Hong Sing Garden",114.0,76.0,114.0,76.0
"Sau Mau Ping Road,  Outside The Mission Covenant Church Holm Glad Primary School",114.0,76.0,114.0,76.0
"Sau Mau Ping Road,  Outside Sau Yee House,  Sau Mau Ping Estate",209.0,152.0,209.0,152.0
"Shun On Road,  Outisde Ning Po No.2 College",969.0,503.5,969.0,503.5
Shun Tin Estate,383.1666667,316.6666667,383.1666667,316.6666667
New Clear Water Bay Road outside Gov^t Quarter,228.0,152.0,228.0,152.0
Shun Lee Bus Terminus,494.0,361.0,494.0,361.0
"Clear Water Bay Road,  near Tseng Lan Shue",228.0,152.0,228.0,152.0
"Shun Lee Fire Station,  Lee On Road",114.0,76.0,114.0,76.0
Hong Kong University of Science and Technology,228.0,152.0,228.0,152.0
"Hiram^s Highway,  opposite Hebe Haven Yacht Club",114.0,76.0,114.0,76.0
"Shun Lee Tsuen Road,  Outside Carmel Leung Sing Tak School",228.0,152.0,228.0,152.0
"Sau Mau Ping Road,  opposite to United Christian Hospital",228.0,152.0,228.0,152.0
"Sau Mau Ping Road,  Outisde Ning Po No.2 College",228.0,152.0,228.0,152.0
Sau Mau Ping Road opposite to Sau Ching House,475.0,323.0,475.0,323.0
"Po Lam Road,  opposite to Po Tat Estate",608.0,410.56521739,608.0,410.56521739
"Po Lam Road North,  outside Hong Sing Garden",228.0,152.0,228.0,152.0
"Po Lam Road North,  opposite to Ying Ming Court",228.0,152.0,228.0,152.0
